Waktu,pH,Suhu (C),V_pH,V_Suhu,V_Ref
2025-07-30 18:28:32,8.75,39.2,1.3291250000000001,2.044375,3.304
2025-07-30 18:28:34,4.3,39.2,1.32925,2.0445,3.304
2025-07-30 18:28:36,4.3,39.2,1.328875,2.0452500000000002,3.304
2025-07-30 18:28:38,4.3,39.2,1.3291250000000001,2.044875,3.304
2025-07-30 18:28:40,4.3,39.2,1.329,2.04375,3.304
2025-07-30 18:28:42,4.3,39.2,1.329,2.045125,3.304
2025-07-30 18:28:44,4.3,39.2,1.328625,2.043375,3.304
2025-07-30 18:28:46,4.3,39.2,1.32875,2.044125,3.304
2025-07-30 18:28:48,4.3,39.2,1.3291250000000001,2.045125,3.304
2025-07-30 18:28:50,4.3,39.2,1.328875,2.044125,3.304
2025-07-30 18:28:52,4.3,39.2,1.3291250000000001,2.0456250000000002,3.304
2025-07-30 18:28:54,4.3,39.1,1.328625,2.043125,3.304
2025-07-30 18:28:57,4.31,39.2,1.329375,2.045,3.304
2025-07-30 18:28:59,4.3,39.2,1.328875,2.043875,3.304
2025-07-30 18:29:01,4.3,39.2,1.3291250000000001,2.044875,3.304
2025-07-30 18:29:03,4.3,39.2,1.328375,2.044875,3.304
2025-07-30 18:29:05,4.3,39.2,1.3285,2.04425,3.304
2025-07-30 18:29:07,4.31,39.2,1.3295000000000001,2.0460000000000003,3.304
2025-07-30 18:29:09,4.3,39.2,1.32875,2.04425,3.304
2025-07-30 18:29:11,4.3,39.2,1.329,2.045125,3.304
2025-07-30 18:29:13,4.3,39.1,1.328625,2.04375,3.299
2025-07-30 18:29:15,4.3,39.1,1.3291250000000001,2.042875,3.304
2025-07-30 18:29:17,4.3,39.2,1.329,2.04325,3.304
2025-07-30 18:29:19,4.3,39.1,1.32875,2.042875,3.304
2025-07-30 18:29:21,4.3,39.1,1.328625,2.042625,3.304
