Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-30 18:35:22,29.1,81.0
2025-07-30 18:35:24,29.1,81.1
2025-07-30 18:35:26,29.1,81.0
2025-07-30 18:35:27,29.1,81.0
2025-07-30 18:35:29,29.1,81.0
2025-07-30 18:35:30,29.1,81.0
2025-07-30 18:35:32,29.1,81.0
2025-07-30 18:35:33,29.2,81.0
2025-07-30 18:35:35,29.1,81.0
2025-07-30 18:35:36,29.1,80.9
2025-07-30 18:35:38,29.2,80.9
2025-07-30 18:35:39,29.2,80.9
2025-07-30 18:35:41,29.1,80.9
2025-07-30 18:35:43,29.2,80.9
2025-07-30 18:35:44,29.2,81.0
2025-07-30 18:35:46,29.1,80.9
2025-07-30 18:35:47,29.1,81.0
2025-07-30 18:35:49,29.1,80.9
2025-07-30 18:35:50,29.2,80.9
2025-07-30 18:35:52,29.2,81.0
2025-07-30 18:35:53,29.2,81.0
2025-07-30 18:35:55,29.2,81.0
2025-07-30 18:35:57,29.2,81.0
2025-07-30 18:35:58,29.1,81.0
2025-07-30 18:36:00,29.2,81.0
