Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 08:44:44,33.7,71.9
2025-08-01 08:44:45,33.7,69.6
2025-08-01 08:44:47,33.6,69.8
2025-08-01 08:44:49,33.7,70.0
2025-08-01 08:44:50,33.7,70.2
2025-08-01 08:44:52,33.7,70.4
2025-08-01 08:44:53,33.7,70.7
2025-08-01 08:44:55,33.7,70.8
2025-08-01 08:44:56,33.7,70.6
2025-08-01 08:44:58,33.7,70.0
2025-08-01 08:44:59,33.7,69.0
2025-08-01 08:45:01,33.7,68.8
2025-08-01 08:45:03,33.7,68.8
2025-08-01 08:45:04,33.7,68.4
2025-08-01 08:45:06,33.7,68.5
2025-08-01 08:45:07,33.8,68.7
2025-08-01 08:45:09,33.7,69.2
2025-08-01 08:45:10,33.7,69.6
2025-08-01 08:45:12,33.7,69.5
2025-08-01 08:45:13,33.8,68.8
2025-08-01 08:45:15,33.8,68.4
2025-08-01 08:45:16,33.8,68.3
2025-08-01 08:45:18,33.8,68.1
2025-08-01 08:45:20,33.8,68.0
2025-08-01 08:45:21,33.8,68.1
