Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 14:01:20,44.0,38.2
2025-08-01 14:01:21,44.2,37.0
2025-08-01 14:01:23,44.2,37.3
2025-08-01 14:01:24,44.2,37.6
2025-08-01 14:01:26,44.1,37.7
2025-08-01 14:01:28,44.2,37.8
2025-08-01 14:01:29,44.1,38.1
2025-08-01 14:01:31,44.2,38.2
2025-08-01 14:01:32,44.2,38.0
2025-08-01 14:01:34,44.1,38.1
2025-08-01 14:01:35,44.1,38.4
2025-08-01 14:01:37,44.2,38.4
2025-08-01 14:01:38,44.2,38.3
2025-08-01 14:01:40,44.2,38.2
2025-08-01 14:01:41,44.2,38.1
2025-08-01 14:01:43,44.2,38.1
2025-08-01 14:01:45,44.2,38.6
2025-08-01 14:01:46,44.2,39.0
2025-08-01 14:01:48,44.2,38.9
2025-08-01 14:01:49,44.2,38.5
2025-08-01 14:01:51,44.2,38.1
2025-08-01 14:01:52,44.2,38.1
2025-08-01 14:01:54,44.1,38.1
2025-08-01 14:01:55,44.2,37.8
2025-08-01 14:01:57,44.2,37.6
