Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 14:05:21,44.1,37.2
2025-08-01 14:05:22,43.2,39.8
2025-08-01 14:05:24,43.2,39.8
2025-08-01 14:05:25,43.2,40.0
2025-08-01 14:05:27,43.2,40.2
2025-08-01 14:05:28,43.2,40.1
2025-08-01 14:05:30,43.2,40.0
2025-08-01 14:05:32,43.2,40.0
2025-08-01 14:05:33,43.1,40.1
2025-08-01 14:05:35,43.1,40.0
2025-08-01 14:05:36,43.1,39.8
2025-08-01 14:05:38,43.1,39.4
2025-08-01 14:05:39,43.1,39.2
2025-08-01 14:05:41,43.1,39.3
2025-08-01 14:05:42,43.1,39.5
2025-08-01 14:05:44,43.1,39.6
2025-08-01 14:05:45,43.1,39.6
2025-08-01 14:05:47,43.1,39.2
2025-08-01 14:05:49,43.1,39.3
2025-08-01 14:05:50,43.1,39.7
2025-08-01 14:05:52,43.1,40.0
2025-08-01 14:05:53,43.1,40.0
2025-08-01 14:05:55,43.1,40.1
2025-08-01 14:05:56,43.1,40.1
2025-08-01 14:05:58,43.1,40.2
