Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 14:15:55,44.1,40.0
2025-08-01 14:15:56,44.2,38.5
2025-08-01 14:15:58,44.1,38.5
2025-08-01 14:16:00,44.1,38.4
2025-08-01 14:16:01,44.1,38.5
2025-08-01 14:16:03,44.2,38.7
2025-08-01 14:16:04,44.2,38.9
2025-08-01 14:16:06,44.2,38.9
2025-08-01 14:16:07,44.2,39.0
2025-08-01 14:16:09,44.2,39.0
2025-08-01 14:16:10,44.2,39.0
2025-08-01 14:16:12,44.2,38.8
2025-08-01 14:16:13,44.2,38.6
2025-08-01 14:16:15,44.2,38.7
2025-08-01 14:16:17,44.3,38.6
2025-08-01 14:16:18,44.3,38.5
2025-08-01 14:16:20,44.3,38.5
2025-08-01 14:16:21,44.3,38.4
2025-08-01 14:16:23,44.3,38.3
2025-08-01 14:16:24,44.3,38.3
2025-08-01 14:16:26,44.4,38.4
2025-08-01 14:16:27,44.4,38.4
2025-08-01 14:16:29,44.3,38.5
2025-08-01 14:16:31,44.4,38.5
2025-08-01 14:16:32,44.4,38.4
