Waktu,Voltase pH (V)
2025-07-30 15:28:54,1.092
2025-07-30 15:28:56,1.0919
2025-07-30 15:28:58,1.0914
2025-07-30 15:29:00,1.0917
2025-07-30 15:29:02,1.0911
2025-07-30 15:29:04,1.0919
2025-07-30 15:29:06,1.0915
2025-07-30 15:29:08,1.091
2025-07-30 15:29:10,1.0919
2025-07-30 15:29:12,1.0916
2025-07-30 15:29:14,1.0915
2025-07-30 15:29:16,1.0915
2025-07-30 15:29:18,1.0917
2025-07-30 15:29:20,1.0916
2025-07-30 15:29:22,1.0914
2025-07-30 15:29:24,1.0915
2025-07-30 15:29:26,1.0915
2025-07-30 15:29:28,1.0917
2025-07-30 15:29:30,1.0916
2025-07-30 15:29:32,1.0915
2025-07-30 15:29:34,1.0914
2025-07-30 15:29:36,1.0917
2025-07-30 15:29:38,1.0919
2025-07-30 15:29:40,1.0914
2025-07-30 15:29:42,1.0917
