Waktu,Voltase pH (V)
2025-07-30 16:31:58,1.2803
2025-07-30 16:32:00,0.6284
2025-07-30 16:32:02,0.628
2025-07-30 16:32:04,0.6295
2025-07-30 16:32:06,0.6295
2025-07-30 16:32:08,0.6274
2025-07-30 16:32:10,0.6288
2025-07-30 16:32:12,0.6298
2025-07-30 16:32:14,0.6301
2025-07-30 16:32:16,0.63
2025-07-30 16:32:18,0.6296
2025-07-30 16:32:20,0.6305
2025-07-30 16:32:22,0.63
2025-07-30 16:32:24,0.6295
2025-07-30 16:32:26,0.6288
2025-07-30 16:32:28,0.6306
2025-07-30 16:32:30,0.63
2025-07-30 16:32:32,0.628
