Waktu,Voltase pH (V)
2025-07-30 18:10:50,1.3185
2025-07-30 18:10:52,1.5601
2025-07-30 18:10:54,1.56
2025-07-30 18:10:56,1.5601
2025-07-30 18:10:58,1.5605
2025-07-30 18:11:00,1.5605
2025-07-30 18:11:02,1.5608
2025-07-30 18:11:04,1.5616
2025-07-30 18:11:06,1.5623
2025-07-30 18:11:08,1.5628
2025-07-30 18:11:10,1.5624
2025-07-30 18:11:12,1.5615
2025-07-30 18:11:14,1.5617
2025-07-30 18:11:17,1.563
2025-07-30 18:11:19,1.5625
2025-07-30 18:11:21,1.5637
2025-07-30 18:11:23,1.5628
2025-07-30 18:11:25,1.562
2025-07-30 18:11:27,1.5639
2025-07-30 18:11:29,1.5634
2025-07-30 18:11:31,1.565
2025-07-30 18:11:33,1.5641
2025-07-30 18:11:35,1.5655
2025-07-30 18:11:37,1.5644
2025-07-30 18:11:39,1.5645
