Waktu,Voltase pH (V)
2025-07-30 17:18:51,1.9485
2025-07-30 17:18:53,1.9491
2025-07-30 17:18:55,1.9481
2025-07-30 17:18:57,1.9489
2025-07-30 17:18:59,1.9489
2025-07-30 17:19:01,1.9489
2025-07-30 17:19:03,1.9487
2025-07-30 17:19:05,1.9475
2025-07-30 17:19:07,1.9486
2025-07-30 17:19:09,1.9463
2025-07-30 17:19:11,1.9465
2025-07-30 17:19:13,1.946
2025-07-30 17:19:15,1.9459
2025-07-30 17:19:17,1.946
2025-07-30 17:19:19,1.9454
2025-07-30 17:19:21,1.9456
2025-07-30 17:19:23,1.9446
2025-07-30 17:19:25,1.9456
2025-07-30 17:19:27,1.9445
2025-07-30 17:19:29,1.9447
2025-07-30 17:19:31,1.9441
2025-07-30 17:19:33,1.9453
2025-07-30 17:19:35,1.9435
2025-07-30 17:19:37,1.943
2025-07-30 17:19:39,1.9433
