timestamp,ec,tds,suhu_tds,sensor_id,ph,suhu_ph,vref_ph,suhu_xy,humidity,flowrate
2025-08-05 08: 30:41,,,,,,31.1,3.304,,,OFF
2025-08-05 08: 30:48,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 30:53,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 31:00,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 31:07,,,,,,31.1,3.304,,,OFF
2025-08-05 08: 31:15,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 31:22,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 31:29,,,,,,31.1,3.304,,,OFF
2025-08-05 08: 31:36,,,,,,31.1,3.304,,,OFF
2025-08-05 08: 31:43,,,,,,31.1,3.304,,,OFF
2025-08-05 08: 31:50,,,,,,31.1,3.304,,,OFF
2025-08-05 08: 31:57,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 32:04,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 32:11,,,,,,31.1,3.304,,,OFF
2025-08-05 08: 32:18,,,,,,31.1,3.304,,,OFF
2025-08-05 08: 32:25,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 32:32,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 32:39,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 32:46,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 32:53,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 33:00,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 33:07,,,,,,31.1,3.302,,,OFF
2025-08-05 08: 33:14,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 33:21,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 33:28,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 33:35,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 33:42,,,,,,31.1,3.302,,,OFF
2025-08-05 08: 33:49,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 33:56,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 34:03,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 34:10,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 34:17,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 34:25,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 34:32,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 34:39,,,,,,31.1,3.296,,,OFF
2025-08-05 08: 34:46,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 34:53,,,,,,31.1,3.302,,,OFF
2025-08-05 08: 35:00,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 35:07,,,,,,31.1,3.302,,,OFF
2025-08-05 08: 35:14,,,,,,31.1,3.302,,,OFF
2025-08-05 08: 35:21,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 35:28,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 35:35,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 35:42,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 35:49,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 35:56,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 36:03,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 36:10,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 36:17,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 36:24,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 36:31,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 36:38,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 36:45,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 36:52,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 36:59,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 37:06,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 37:13,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 37:20,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 37:27,,,,,,31.1,3.297,,,OFF
2025-08-05 08: 37:35,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 37:42,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 37:49,,,,,,31.1,3.303,,,OFF
2025-08-05 08: 37:56,,,,,,31.1,3.303,,,OFF
2025-08-05 09: 46:27,,,,,,31.1,3.303,31.61,60.31,OFF
2025-08-05 09: 46:32,,,,,,31.1,3.303,31.61,59.23,OFF
2025-08-05 09: 46:37,,,,,,31.1,3.303,31.61,57.87,OFF
2025-08-05 09: 46:42,,,,,,31.1,3.303,31.61,59.23,OFF
2025-08-05 09: 46:47,,,,,,31.1,3.303,31.71,59.5,OFF
2025-08-05 09: 46:52,,,,,,31.1,3.303,31.71,58.96,OFF
2025-08-05 09: 46:57,,,,,,31.1,3.303,31.71,58.96,OFF
2025-08-05 09: 47:02,,,,,,31.1,3.303,31.71,57.33,OFF
2025-08-05 09: 47:07,,,,,,31.1,3.303,31.71,57.6,OFF
2025-08-05 09: 47:12,,,,,,31.1,3.303,31.71,57.87,OFF
2025-08-05 09: 47:17,,,,,,31.1,3.303,31.71,55.97,OFF
2025-08-05 09: 47:23,,,,,,31.1,3.303,31.71,54.07,OFF
2025-08-05 09: 47:28,,,,,,31.1,3.303,31.71,52.98,OFF
2025-08-05 09: 47:33,,,,,,31.1,3.303,31.71,53.53,OFF
2025-08-05 09: 47:38,,,,,,31.1,3.303,31.71,51.63,OFF
2025-08-05 09: 47:43,,,,,,31.1,3.303,31.82,52.17,OFF
2025-08-05 09: 47:48,,,,,,31.1,3.303,31.82,50.81,OFF
2025-08-05 09: 47:53,,,,,,31.1,3.303,31.82,52.71,OFF
2025-08-05 10: 32:42,2,1.3,29.66,5,6.75,30.2,3.304,30.33,70.36,OFF
2025-08-05 10: 32:46,2,1.3,29.66,5,6.75,30.2,3.304,30.33,70.36,OFF
2025-08-05 10: 32:50,2,1.3,29.66,5,6.75,30.2,3.304,30.33,70.63,535.96
2025-08-05 10: 32:54,2,1.3,29.65,5,6.75,30.2,3.304,30.33,70.63,OFF
2025-08-05 10: 32:58,2,1.3,29.66,5,6.75,30.3,3.303,30.33,70.63,OFF
2025-08-05 10: 33:02,2,1.3,29.66,5,6.75,30.3,3.303,30.33,70.63,OFF
2025-08-05 10: 33:06,2,1.3,29.66,5,6.75,30.3,3.303,30.33,70.9,OFF
2025-08-05 18: 10:02,,,,,8.62,16.5,3.298,30.54,69.54,OFF
2025-08-05 18: 10:07,,,,,8.62,16.5,3.299,30.54,69.27,OFF
2025-08-05 18: 53:58,400,260.0,30.66,5,8.61,29.6,3.297,30.54,67.92,OFF
2025-08-05 18: 54:02,401,260.65,30.66,5,8.6,29.6,3.297,30.54,67.64,OFF
2025-08-05 18: 54:07,400,260.0,30.66,5,8.6,29.6,3.298,30.54,67.37,OFF
2025-08-05 18: 54:11,400,260.0,30.66,5,8.6,29.6,3.297,30.54,67.1,OFF
2025-08-05 18: 54:15,400,260.0,30.66,5,8.6,29.6,3.297,30.54,67.1,OFF
2025-08-05 18: 54:19,400,260.0,30.66,5,8.6,29.6,3.297,30.54,67.1,OFF
2025-08-05 18: 54:23,401,260.65,30.66,5,8.6,29.6,3.297,30.54,66.83,OFF
2025-08-05 18: 54:27,400,260.0,30.66,5,8.61,29.6,3.297,30.54,66.83,OFF
2025-08-05 18: 54:31,401,260.65,30.66,5,8.61,29.6,3.297,30.54,66.56,OFF
2025-08-05 18: 54:35,400,260.0,30.66,5,8.61,29.6,3.297,30.54,66.56,OFF
2025-08-05 18: 54:39,400,260.0,30.66,5,8.61,29.6,3.297,30.54,66.56,OFF
2025-08-05 18: 54:44,400,260.0,30.66,5,8.61,29.6,3.297,30.54,66.29,OFF
2025-08-05 18: 54:48,400,260.0,30.66,5,8.61,29.6,3.297,30.54,66.29,OFF
2025-08-05 18: 54:52,400,260.0,30.66,5,8.61,29.6,3.297,30.54,66.29,OFF
2025-08-06 18: 09:03,439,285.35,30.79,5,9.39,29.4,3.298,30.97,64.39,OFF
2025-08-06 18: 09:07,439,285.35,30.79,5,9.39,29.5,3.298,30.86,64.39,OFF
2025-08-06 18: 09:11,439,285.35,30.78,5,9.39,29.5,3.298,30.97,64.66,OFF
2025-08-06 18: 09:15,439,285.35,30.79,5,9.39,29.4,3.297,30.86,64.66,OFF
2025-08-06 18: 09:19,439,285.35,30.78,5,9.4,29.4,3.297,30.86,64.39,OFF
2025-08-06 18: 09:23,439,285.35,30.78,5,9.41,29.4,3.298,30.97,64.39,OFF
2025-08-08 09: 25:27,421,168.4,30.13,5,8.75,25.1,3.297,28.95,52.7,OFF
2025-08-08 09: 25:31,421,168.4,30.13,5,8.75,25.1,3.297,28.95,52.9,OFF
2025-08-08 09: 25:36,421,168.4,30.14,5,8.75,25.1,3.297,28.95,53.1,OFF
2025-08-08 09: 25:40,421,168.4,30.14,5,8.75,25.2,3.298,28.95,53.1,OFF
2025-08-08 09: 25:44,422,168.8,30.14,5,8.75,25.1,3.297,28.95,53.1,OFF
2025-08-08 09: 25:48,421,168.4,30.13,5,8.74,25.1,3.298,28.95,53.3,OFF
2025-08-08 09: 25:52,422,168.8,30.14,5,8.74,25.2,3.297,28.95,53.1,OFF
2025-08-08 09: 25:56,421,168.4,30.13,5,8.75,25.1,3.297,28.95,53.2,OFF
2025-08-08 09: 27:17,422,168.8,30.13,5,8.74,25.1,3.295,28.95,53.3,OFF
2025-08-08 09: 27:21,421,168.4,30.13,5,8.74,25.1,3.295,28.95,52.7,OFF
