Waktu,pH,Suhu (C),V_pH,V_Suhu,V_Ref
2025-08-08 11:19:35,8.5,25.7,2.1045000000000003,1.7955,3.295
2025-08-08 11:19:37,8.5,25.7,2.1045000000000003,1.793625,3.295
2025-08-08 11:19:39,8.5,25.7,2.104875,1.7935,3.296
2025-08-08 11:19:41,8.5,25.7,2.104375,1.79375,3.296
2025-08-08 11:19:43,8.5,25.7,2.104625,1.795875,3.295
2025-08-08 11:19:45,8.5,25.6,2.1045000000000003,1.792875,3.296
2025-08-08 11:19:47,8.5,25.7,2.10475,1.794125,3.296
2025-08-08 11:19:49,8.5,25.7,2.104375,1.794375,3.296
2025-08-08 11:19:51,8.5,25.7,2.10475,1.79525,3.296
2025-08-08 11:19:53,8.5,25.6,2.104375,1.791875,3.296
2025-08-08 11:19:55,8.5,25.7,2.104875,1.793125,3.295
2025-08-08 11:19:57,8.5,25.7,2.10475,1.7942500000000001,3.296
2025-08-08 11:19:59,8.5,25.7,2.1045000000000003,1.7945,3.296
2025-08-08 11:20:01,8.5,25.7,2.104625,1.7945,3.295
2025-08-08 11:20:03,8.5,25.6,2.1041250000000002,1.792125,3.296
2025-08-08 11:20:06,8.5,25.6,2.10475,1.792125,3.296
2025-08-08 11:20:08,8.5,25.7,2.10475,1.79325,3.296
2025-08-08 11:20:10,8.5,25.7,2.10525,1.7942500000000001,3.296
2025-08-08 11:20:12,8.5,25.7,2.104375,1.7945,3.296
2025-08-08 11:20:14,8.5,25.6,2.104375,1.79275,3.296
2025-08-08 11:20:16,8.5,25.6,2.104625,1.79175,3.296
2025-08-08 11:20:18,8.5,25.7,2.104625,1.79325,3.296
2025-08-08 11:20:20,8.5,25.7,2.1045000000000003,1.7946250000000001,3.296
2025-08-08 11:20:22,8.5,25.7,2.10475,1.794375,3.295
2025-08-08 11:20:24,8.5,25.6,2.10425,1.792,3.296
