Waktu,Voltase pH (V)
2025-08-07 17:51:49,2.1673
2025-08-07 17:51:51,2.167
2025-08-07 17:51:53,2.1675
2025-08-07 17:51:55,2.1681
2025-08-07 17:51:57,2.1686
2025-08-07 17:51:59,2.1694
2025-08-07 17:52:01,2.1684
2025-08-07 17:52:03,2.1685
2025-08-07 17:52:05,2.1679
2025-08-07 17:52:07,2.169
2025-08-07 17:52:09,2.1683
2025-08-07 17:52:11,2.1692
2025-08-07 17:52:13,2.1683
2025-08-07 17:52:15,2.1699
2025-08-07 17:52:17,2.1699
2025-08-07 17:52:19,2.1698
2025-08-07 17:52:21,2.1694
2025-08-07 17:52:23,2.169
2025-08-07 17:52:25,2.169
2025-08-07 17:52:27,2.1694
2025-08-07 17:52:29,2.169
2025-08-07 17:52:31,2.1681
2025-08-07 17:52:33,2.1683
2025-08-07 17:52:35,2.1694
2025-08-07 17:52:37,2.1688
