Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-08 13:59:50,43.5,38.4
2025-08-08 13:59:51,43.5,38.4
2025-08-08 13:59:53,43.5,38.4
2025-08-08 13:59:54,43.5,38.5
2025-08-08 13:59:56,43.5,38.7
2025-08-08 13:59:57,43.5,38.6
2025-08-08 13:59:59,43.5,38.3
2025-08-08 14:00:01,43.5,38.2
2025-08-08 14:00:02,43.5,38.1
2025-08-08 14:00:04,43.5,38.1
2025-08-08 14:00:05,43.5,38.2
2025-08-08 14:00:07,43.5,38.2
2025-08-08 14:00:08,43.5,38.1
2025-08-08 14:00:10,43.5,38.1
2025-08-08 14:00:11,43.5,38.0
2025-08-08 14:00:13,43.5,38.0
2025-08-08 14:00:15,43.5,38.0
2025-08-08 14:00:16,43.5,38.0
2025-08-08 14:00:18,43.5,38.0
2025-08-08 14:00:19,43.5,38.1
2025-08-08 14:00:21,43.5,38.0
2025-08-08 14:00:22,43.5,38.1
2025-08-08 14:00:24,43.5,38.1
2025-08-08 14:00:25,43.5,38.1
2025-08-08 14:00:27,43.5,38.1

Rata-rata,43.5,38.192
